"FIPS","Population.Estimate..2014.","County.Name","State.Abbrev","FIPS.State.Code","FIPS.County.Code","Percent.Total.Population..One.Race..2010.","Population.Wh.Non.Hisp.Lat.Male...15..2013.","Population.Wh.Non.Hisp.Lat.Male.15.19..2013.","Population.Wh.Non.Hisp.Lat.Male.20.24..2013.","Population.Wh.Non.Hisp.Lat.Male.25.44..2013.","Population.Wh.Non.Hisp.Lat.Male.45.64..2013.","Population.Wh.Non.Hisp.Lat.Male.65...2013.","Population.Wh.Non.Hisp.Lat.Female...15..2013.","Population.Wh.Non.Hisp.Lat.Female.15.19..2013.","Population.Wh.Non.Hisp.Lat.Female.20.24..2013.","Population.Wh.Non.Hisp.Lat.Female.25.44..2013.","Population.Wh.Non.Hisp.Lat.Female.45.64..2013.","Population.Wh.Non.Hisp.Lat.Female.65...2013.","Population.Black.Afr.Am.Male...15..2013.","Population.Black.Afr.Am.Male.15.19..2013.","Population.Black.Afr.Am.Male.20.24..2013.","Population.Black.Afr.Am.Male.25.44..2013.","Population.Black.Afr.Am.Male.45.64..2013.","Population.Black.Afr.Am.Male.65...2013.","Population.Black.Afr.Am.Female...15..2013.","Population.Black.Afr.Am.Female.15.19..2013.","Population.Black.Afr.Am.Female.20.24..2013.","Population.Black.Afr.Am.Female.25.44..2013.","Population.Black.Afr.Am.Female.45.64..2013.","Population.Black.Afr.Am.Female.65...2013.","Population.Am.Ind.Alaska.Nat.Male...15..2013.","Population.Am.Ind.Alaska.Nat.Male.15.19..2013.","Population.Am.Ind.Alaska.Nat.Male.20.24..2013.","Population.Am.Ind.Alaska.Nat.Male.25.44..2013.","Population.Am.Ind.Alaska.Nat.Male.45.64..2013.","Population.Am.Ind.Alaska.Nat.Male.65...2013.","Population.Am.Ind.Alaska.Nat.Femle...15..2013.","Population.Am.Ind.Alaska.Nat.Femle.15.19..2013.","Population.Am.Ind.Alaska.Nat.Femle.20.24..2013.","Population.Am.Ind.Alaska.Nat.Femle.25.44..2013.","Population.Am.Ind.Alaska.Nat.Femle.45.64..2013.","Population.Am.Ind.Alaska.Nat.Femle.65...2013.","Population.Asian.Male...15..2013.","Population.Asian.Male.15.19..2013.","Population.Asian.Male.20.24..2013.","Population.Asian.Male.25.44..2013.","Population.Asian.Male.45.64..2013.","Population.Asian.Male.65...2013.","Population.Asian.Female...15..2013.","Population.Asian.Female.15.19..2013.","Population.Asian.Female.20.24..2013.","Population.Asian.Female.25.44..2013.","Population.Asian.Female.45.64..2013.","Population.Asian.Female.65...2013.","Population.Tot.Hisp.Latino.Male...15..2013.","Population.Tot.Hisp.Latino.Male.15.19..2013.","Population.Tot.Hisp.Latino.Male.20.24..2013.","Population.Tot.Hisp.Latino.Male.25.44..2013.","Population.Tot.Hisp.Latino.Male.45.64..2013.","Population.Tot.Hisp.Latino.Male.65...2013.","Population.Tot.Hisp.Latino.Female...15..2013.","Population.Tot.Hisp.Latino.Female.15.19..2013.","Population.Tot.Hisp.Latino.Female.20.24..2013.","Population.Tot.Hisp.Latino.Female.25.44..2013.","Population.Tot.Hisp.Latino.Female.45.64..2013.","Population.Tot.Hisp.Latino.Female.65...2013.","Population.White..2013.","Population.White.Non.Hisp.Latino..2013.","Population.White.Hisp.Latino..2013.","Population.Black.Afr.Am..2013.","Population.Black.Afr.Am.Non.Hisp.Lat..2013.","Population.Black.Afr.Am.Hisp.Lat..2013.","Population.Amer.Ind.Alaska.Nat..2013.","Population.Asian..2013.","Population.Nat.Haw.Oth.Pac.Isl..2013.","Population.Two...Races..2013.","Population.Tot.Non.Hisp.Latino..2013.","Population.Tot.Hisp.Latino..2013.","Population.White.Male..2013.","Population.White.Female..2013.","Population.White.Non.Hisp.Lat.Male..2013.","Population.White.Non.Hisp.Lat.Female..2013.","Population.White.Hisp.Lat.Male..2013.","Population.White.Hisp.Lat.Female..2013.","Population.Black.African.Amer.Male..2013.","Population.Black.African.Amer.Female..2013.","Pop.Black.Afr.Am.Non.Hisp.Lat.Male..2013.","Pop.Black.Afr.Am.Non.Hisp.Lat.Female..2013.","Population.Black.Afr.Am.Hisp.Lat.Male..2013.","Population.Black.Afr.Am.Hisp.Lat.Female..2013.","Population.Amer.Ind.Alaska.Nat.Male..2013.","Population.Amer.Ind.Alaska.Nat.Female..2013.","Population.Asian.Male..2013.","Population.Nat.Haw.Oth.Pac.Isl.Male..2013.","Population.Asian.Female..2013.","Population.Nat.Haw.Oth.Pac.Isl.Female..2013.","Population.Two.or.more.Races.Male..2013.","Population.Two.or.more.Races.Female..2013.","Population.Total.Hisp.Latino.Male..2013.","Population.Total.Hisp.Latino.Female..2013.","Population.Total.Non.Hisp.Latino.Male..2013.","Population.Total.Non.Hisp.Latino.Female..2013.","Population.Male...15..2013.","Population.Male.15.19..2013.","Population.Male.20.24..2013.","Population.Male.25.44..2013.","Population.Male.45.64..2013.","Population.Male.65...2013.","Population.Female...15..2013.","Population.Female.15.19..2013.","Population.Female.20.24..2013.","Population.Female.25.44..2013.","Population.Female.45.64..2013.","Population.Female.65...2013.","Percent.Urban.Population..2010.","X3.Year.Chrnic.Lower.Resp.Dis.Death..2009.11.","Unemployment.Rate..16...2014.","X3.Yr.Mortality..Age.25.34.years..2010.12.","X3.Yr.Mortality..Age.35.44.years..2010.12.","X3.Yr.Mortality..Age.45.54.years..2010.12.","X3.Yr.Mortality..Age.55.64.years..2010.12.","X3.Yr.Mortality..Age.65.74.years..2010.12.","X3.Yr.Mortality..Age.75.84.years..2010.12.","X3.Yr.Mortality..Age.85..years..2010.12.","X3.Yr.Mortality..Age.unknown..2010.12.","X3.Year.Motor.Vehicle.Accid.Deaths..2010.12.","X3.Year.Suicide.Deaths..2010.12.","X3.Year.Homic.Legal.Intervent.Death..2010.12.","X3.Year.Other.Causes.Deaths..2010.12.","X3.Year.Average.Total.Deaths..2010.12.","X3.Year.Average.White.Male.Deaths..2010.12.","X3.Year.Average.Black.Male.Deaths..2010.12.","X3.Year.Average.Other.Male.Deaths..2010.12.","X3.Year.Average.White.Female.Deaths..2010.12.","X3.Year.Average.Black.Female.Deaths..2010.12.","X3.Year.Average.Other.Female.Deaths..2010.12.","county","state"
1001,55395,"Autauga","AL",1,1,98.4,4103,1486,1290,5254,5558,2793,4073,1406,1250,5419,5779,3523,1151,464,411,1230,1149,395,1131,417,372,1591,1331,549,27,10,9,27,44,7,17,11,14,39,45,27,56,23,13,72,79,12,54,23,11,139,102,44,263,58,64,245,100,26,239,50,46,242,109,49,43168,41934,1234,10191,10095,96,277,628,52,930,53755,1491,21106,22062,20484,21450,622,612,4800,5391,4752,5343,48,48,124,153,255,33,373,19,478,452,756,735,26040,27715,5777,2069,1830,6901,6968,3251,5668,1951,1714,7491,7411,4215,58,31,5.9,NA,14,40,71,101,112,105,NA,NA,12,NA,97,468,197,41,NA,192,36,NA,"autauga","AL"
1003,200111,"Baldwin","AL",1,3,98.5,13961,4760,4122,18512,22420,15290,13529,4534,4038,19374,24469,17527,2195,734,849,2361,2178,737,2071,812,754,2452,2489,1021,134,54,48,156,209,117,125,60,38,178,229,94,210,67,108,208,147,36,162,57,84,361,216,73,1471,355,488,1662,696,161,1355,284,335,1291,649,202,170619,162536,8083,18653,18341,312,1442,1729,129,2968,186591,8949,83436,87183,79065,83471,4371,3712,9054,9599,8894,9447,160,152,718,724,776,71,953,58,1432,1536,4833,4116,90654,95937,18435,6074,5667,23073,25791,16447,17757,5847,5309,23848,28278,19014,57.7,111,6.1,34,46,128,237,341,469,528,NA,26,37,NA,399,1817,870,74,NA,802,65,NA,"baldwin","AL"
1005,26887,"Barbour","AL",1,5,99.1,843,302,397,1842,2010,1298,880,269,268,1129,1789,1518,1293,452,641,2293,1639,551,1277,394,439,1468,1597,849,20,5,9,35,19,5,19,1,5,18,16,7,15,6,3,22,13,7,8,5,6,29,18,10,232,33,50,328,87,17,234,33,25,180,71,19,13591,12545,1046,12893,12765,128,159,142,50,241,25767,1309,7288,6303,6692,5853,596,450,6869,6024,6801,5964,68,60,93,66,66,29,76,21,137,104,747,562,13735,12032,2402,802,1110,4503,3781,1884,2419,704,747,2819,3495,2410,32.2,13,10.8,NA,NA,19,37,60,77,69,NA,NA,NA,NA,62,285,93,57,NA,83,51,NA,"barbour","AL"
1007,22506,"Bibb","AL",1,7,99.1,1601,528,471,2352,2490,1193,1368,461,482,2021,2261,1558,390,195,291,1284,728,180,389,124,166,502,511,225,12,5,0,10,9,6,11,0,6,16,11,3,6,2,2,7,1,2,4,2,1,2,3,3,61,14,35,152,41,13,56,10,3,46,27,8,17178,16786,392,4985,4956,29,89,35,30,195,22046,466,8904,8274,8635,8151,269,123,3068,1917,3054,1902,14,15,42,47,20,26,15,4,98,97,316,150,11842,10204,2098,746,806,3817,3286,1405,1849,601,663,2599,2831,1811,31.6,15,7.1,NA,NA,16,44,55,58,47,NA,NA,NA,NA,46,241,101,22,NA,101,17,NA,"bibb","AL"
1009,57719,"Blount","AL",1,9,98.8,4549,1722,1413,6044,7077,4005,4524,1445,1414,6283,7244,5111,149,40,42,163,112,54,149,33,32,110,111,57,38,14,16,44,44,28,29,14,12,51,40,20,21,3,4,11,14,4,21,8,3,36,26,10,914,251,252,966,371,83,843,197,174,673,261,56,55586,50831,4755,1052,948,104,350,161,65,658,52831,5041,27467,28119,24810,26021,2657,2098,560,492,495,453,65,39,184,166,57,40,104,25,308,350,2837,2204,25779,27052,5720,2045,1734,7228,7686,4203,5660,1713,1651,7185,7754,5293,10,44,6.1,NA,20,41,75,126,152,134,NA,12,12,NA,124,573,284,NA,NA,281,NA,NA,"blount","AL"
1011,10764,"Bullock","AL",1,11,99.2,134,51,67,463,509,286,101,40,28,111,263,310,697,243,320,1136,1135,341,640,238,262,837,995,597,16,1,1,10,3,1,15,2,3,23,7,2,5,1,1,3,5,0,2,2,0,6,3,1,155,20,39,221,18,13,141,14,29,146,25,8,2895,2363,532,7441,7328,113,84,29,82,108,9810,829,1808,1087,1510,853,298,234,3872,3569,3801,3527,71,42,32,52,15,47,14,35,59,49,466,363,5367,4443,988,310,423,1806,1666,640,892,291,318,1099,1291,915,48.6,NA,9.1,NA,NA,NA,18,23,26,30,NA,NA,NA,NA,26,116,19,42,NA,16,37,NA,"bullock","AL"
1013,20296,"Butler","AL",1,13,99.2,904,290,249,1144,1528,1026,847,266,271,1206,1648,1470,1060,337,319,963,907,403,980,315,343,1315,1257,645,10,2,1,8,14,2,9,3,3,6,10,4,22,5,5,36,25,6,31,4,5,32,20,3,34,6,18,55,26,7,28,6,7,30,23,7,11002,10849,153,8844,8771,73,72,194,10,143,20018,247,5230,5772,5141,5708,89,64,3989,4855,3946,4825,43,30,37,35,99,4,95,6,78,65,146,101,9291,10727,2049,645,593,2198,2496,1456,1902,597,628,2593,2967,2141,28.8,17,8.6,NA,NA,24,33,53,67,83,NA,NA,NA,NA,62,275,84,54,NA,89,48,NA,"butler","AL"
1015,115916,"Calhoun","AL",1,15,98.3,7229,2613,2861,10322,11927,6552,6654,2445,2965,10433,12537,8845,2691,1090,1246,2813,2638,874,2637,1073,1333,3432,3222,1386,49,14,25,86,100,41,42,15,12,77,94,34,90,23,23,144,111,25,82,16,24,160,176,99,720,161,185,752,316,83,628,133,141,556,290,101,88739,85383,3356,24435,24112,323,589,973,108,1892,112670,4066,43334,45405,41504,43879,1830,1526,11352,13083,11169,12943,183,140,315,274,416,61,557,47,922,970,2217,1849,54183,58487,11094,3948,4367,14173,15197,7621,10346,3742,4531,14761,16428,10528,66.3,86,7.9,28,45,112,212,267,354,318,NA,16,18,12,344,1366,545,118,NA,581,115,NA,"calhoun","AL"
1017,34076,"Chambers","AL",1,17,98.9,1524,532,578,2186,2792,1905,1440,525,524,2169,2976,2452,1390,480,467,1526,1754,590,1294,491,529,1826,1964,1043,6,1,3,8,10,8,3,2,7,6,18,3,17,5,10,65,22,7,13,3,6,50,20,14,114,25,31,159,57,20,85,14,29,84,29,24,20088,19603,485,13354,13246,108,75,232,22,391,33491,671,9805,10283,9517,10086,288,197,6207,7147,6135,7111,72,36,36,39,126,16,106,6,194,197,406,265,15978,17513,3100,1060,1093,3942,4645,2544,2909,1045,1108,4144,5022,3550,50.9,25,6.7,12,14,37,66,91,121,113,NA,NA,NA,NA,101,463,154,76,NA,159,72,NA,"chambers","AL"
1019,26037,"Cherokee","AL",1,19,98.5,1974,699,705,2580,3695,2281,1916,634,645,2653,3581,2698,125,55,30,126,182,86,108,41,18,116,192,100,13,5,3,10,28,19,11,5,3,6,29,7,6,1,1,6,8,1,17,2,1,10,9,2,54,16,13,54,40,14,102,17,13,52,15,12,24423,24061,362,1179,1176,3,139,64,7,391,25801,402,12107,12316,11934,12127,173,189,604,575,602,574,2,1,78,61,23,4,41,3,190,201,191,211,12815,12986,2234,794,765,2802,3990,2421,2217,717,693,2859,3868,2843,14.3,31,5.9,NA,11,30,48,73,88,64,NA,NA,NA,NA,80,323,156,NA,NA,150,NA,NA,"cherokee","AL"
