"","County","state","city"
"2",NA,"OR","aloha"
"28",NA,"MO","franklin county"
"35",NA,"MN","bloomington"
"37",NA,"LA","evangeline parish"
"48",NA,"TX","chapeno"
"62",NA,"MN","new hope"
"97",NA,"FL","orange county"
"99",NA,"ME","smyrna"
"102",NA,"TN","whitehaven"
"109",NA,"TN","mclemoresville"
"119",NA,"NC","gaston county"
"121",NA,"MI","eaton rapids township"
"127",NA,"AL","homewood"
"148",NA,"MI","roxand township"
"149",NA,"MO","st louis"
"153",NA,"AZ","la paz county"
"154",NA,"MS","barton"
"157",NA,"IL","joilet"
"185",NA,"AL","hoover"
"209",NA,"AL","lawrence county"
"214",NA,"OK","coal county"
"228",NA,"CA","south los angeles"
"243",NA,"FL","carollwood"
"245",NA,"MD","fort meade"
"247",NA,"NJ","hamilton"
"261",NA,"ID","jefferson county"
"262",NA,"OK","pottawatomie county"
"270",NA,"PA","straban township"
"285",NA,"CO","cañon city"
"290",NA,"MO","jennings"
"302",NA,"NY","queens"
"316",NA,"CA","kings county"
"347",NA,"MN","fridley"
"349",NA,"MD","landover"
"372",NA,"FL","ft. lauderdale"
"383",NA,"NY","queens"
"385",NA,"NJ","ideal beach"
"387",NA,"GA","rockville"
"391",NA,"CO","northglenn"
"395",NA,"OK","okmulgee county"
"401",NA,"NY","greece"
"406",NA,"TX","ellis county"
"407",NA,"TX","fuqua"
"408",NA,"NJ","byram"
"413",NA,"CA","watsonsville"
"429",NA,"TX","bexar county"
"439",NA,"ND","wood lake"
"442",NA,"NY","coney island"
"457",NA,"VA","york county"
"464",NA,"NY","edinburg"
"467",NA,"OR","josephine county"
"495",NA,"MO","sugar creek"
"498",NA,"NC","ashe county"
"522",NA,"WI","wauwatosa"
"536",NA,"OH","mt. auburn"
"540",NA,"FL","oakland park"
"546",NA,"MN","plymouth"
"564",NA,"NV","gardnerville ranchos"
"575",NA,"VA","powhatan county"
"577",NA,"CA","san diego county"
"580",NA,"WI","greenfield"
"581",NA,"HI","maui"
"585",NA,"KY","elsmere"
"623",NA,"MI","bloomfield township"
"639",NA,"NJ","brick township"
"640",NA,"NC","archdale"
"671",NA,"CA","weitchpec"
"678",NA,"FL","little havana"
"683",NA,"WI","ashwaubenon"
"695",NA,"TN","west knox"
"711",NA,"AL","washington county"
"715",NA,"CA","sand city"
"716",NA,"CA","sand city"
"722",NA,"CA","happy valley"
"727",NA,"VA","grayson county"
"734",NA,"AZ","wilhoit"
"747",NA,"OR","aloha"
"755",NA,"OK","midwest city"
"762",NA,"CA","pinion hills"
"763",NA,"MI","cato township"
"766",NA,"LA","lakes charles"
"768",NA,"TX","west odessa"
"779",NA,"OH","parma"
"783",NA,"CA","valinda"
"784",NA,"GA","barrow county"
"797",NA,"CA","west goshen"
"798",NA,"MI","kentwood"
"803",NA,"CA","highgrove"
"807",NA,"WI","paddock lake"
"808",NA,"AK","kenai peninsula"
"814",NA,"CA","point loma"
"823",NA,"OK","norwood"
"834",NA,"CA","pacific beach"
"837",NA,"MO","lakeshire"
"843",NA,"TX","north laredo"
"844",NA,"WV","braxton county"
"856",NA,"TN","gibson county"
"857",NA,"CA","jurupa valley"
"859",NA,"CA","jurupa valley"
"862",NA,"PA","germantown"
"864",NA,"TX","leon county"
"865",NA,"GA","whitfield county"
"871",NA,"NJ","little egg harbor"
"872",NA,"FL","opa-locka"
"873",NA,"MI","berrien county"
"874",NA,"FL","manatee"
"877",NA,"GA","paulding county"
"885",NA,"MN","columbia heights"
"912",NA,"PA","mount washington"
"919",NA,"OH","richmond heights"
"939",NA,"WA","thurston county"
