GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,RES_ONLYA,TRUSTA,AIANHHA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H9A001,H9A002,H9A003,H9A004,H9A005,H9A006,H9A007,H9A008,H9A009,H9A010,H9A011,H9A012,H9A013,H9A014,H9A015,H9A016,H9A017,H9A018,H9A019,H9A020,H9A021,H9A022,H9A023,H9A024,H9A025,H9A026,H9A027,H9A028,H9A029,H9A030,H9A031,H9A032,H9A033,H9A034,H9A035,H9A036,H9A037,H9A038,H9A039,H9A040,H9A041,H9A042,H9A043,H9A044,H9A045,H9A046,H9A047,H9A048,H9A049,H9B001,H9B002,H9B003,H9B004,H9B005,H9B006,H9B007,H9B008,H9B009,H9B010,H9B011,H9B012,H9B013,H9B014,H9B015,H9B016,H9B017,H9B018,H9B019,H9B020,H9B021,H9B022,H9B023,H9B024,H9B025,H9B026,H9B027,H9B028,H9B029,H9B030,H9B031,H9B032,H9B033,H9B034,H9B035,H9B036,H9B037,H9B038,H9B039,H9B040,H9B041,H9B042,H9B043,H9B044,H9B045,H9B046,H9B047,H9B048,H9B049,H9C001,H9C002,H9C003,H9C004,H9C005,H9C006,H9C007,H9C008,H9C009,H9C010,H9C011,H9C012,H9C013,H9C014,H9C015,H9C016,H9C017,H9C018,H9C019,H9C020,H9C021,H9C022,H9C023,H9C024,H9C025,H9C026,H9C027,H9C028,H9C029,H9C030,H9C031,H9C032,H9C033,H9C034,H9C035,H9C036,H9C037,H9C038,H9C039,H9C040,H9C041,H9C042,H9C043,H9C044,H9C045,H9C046,H9C047,H9C048,H9C049,H9D001,H9D002,H9D003,H9D004,H9D005,H9D006,H9D007,H9D008,H9D009,H9D010,H9D011,H9D012,H9D013,H9D014,H9D015,H9D016,H9D017,H9D018,H9D019,H9D020,H9D021,H9D022,H9D023,H9D024,H9D025,H9D026,H9D027,H9D028,H9D029,H9D030,H9D031,H9D032,H9D033,H9D034,H9D035,H9D036,H9D037,H9D038,H9D039,H9D040,H9D041,H9D042,H9D043,H9D044,H9D045,H9D046,H9D047,H9D048,H9D049,H9E001,H9E002,H9E003,H9E004,H9E005,H9E006,H9E007,H9E008,H9E009,H9E010,H9E011,H9E012,H9E013,H9E014,H9E015,H9E016,H9E017,H9E018,H9E019,H9E020,H9E021,H9E022,H9E023,H9E024,H9E025,H9E026,H9E027,H9E028,H9E029,H9E030,H9E031,H9E032,H9E033,H9E034,H9E035,H9E036,H9E037,H9E038,H9E039,H9E040,H9E041,H9E042,H9E043,H9E044,H9E045,H9E046,H9E047,H9E048,H9E049,H9F001,H9F002,H9F003,H9F004,H9F005,H9F006,H9F007,H9F008,H9F009,H9F010,H9F011,H9F012,H9F013,H9F014,H9F015,H9F016,H9F017,H9F018,H9F019,H9F020,H9F021,H9F022,H9F023,H9F024,H9F025,H9F026,H9F027,H9F028,H9F029,H9F030,H9F031,H9F032,H9F033,H9F034,H9F035,H9F036,H9F037,H9F038,H9F039,H9F040,H9F041,H9F042,H9F043,H9F044,H9F045,H9F046,H9F047,H9F048,H9F049,H9G001,H9G002,H9G003,H9G004,H9G005,H9G006,H9G007,H9G008,H9G009,H9G010,H9G011,H9G012,H9G013,H9G014,H9G015,H9G016,H9G017,H9G018,H9G019,H9G020,H9G021,H9G022,H9G023,H9G024,H9G025,H9G026,H9G027,H9G028,H9G029,H9G030,H9G031,H9G032,H9G033,H9G034,H9G035,H9G036,H9G037,H9G038,H9G039,H9G040,H9G041,H9G042,H9G043,H9G044,H9G045,H9G046,H9G047,H9G048,H9G049
"G0100010","2010","3","6","Alabama","01","Autauga County","001",,,,,,,,,,,,,,"33860","99999","388",,,,,,,,,,,,,,"Autauga County",,42855,21067,1382,1494,1642,1032,571,269,215,694,1210,1263,1575,1608,1806,1504,1259,413,672,364,507,686,497,268,136,21788,1293,1499,1599,1004,559,237,216,715,1204,1275,1631,1646,1726,1568,1229,491,742,418,635,795,595,368,343,9643,4534,360,398,425,327,171,65,57,169,273,274,337,303,314,322,236,71,100,48,80,109,46,26,23,5109,314,374,405,273,150,62,71,176,350,375,429,383,351,384,302,92,127,85,91,114,91,63,47,232,108,2,12,14,8,4,0,0,6,1,1,8,9,12,11,7,4,2,1,2,4,0,0,0,124,2,3,9,2,4,6,2,1,3,9,7,13,11,12,9,5,7,2,6,5,6,0,0,474,197,13,17,22,14,11,1,1,6,6,12,30,16,18,10,6,3,4,1,3,2,1,0,0,277,15,19,17,11,3,2,2,3,22,25,29,36,26,16,9,9,4,3,6,8,7,5,0,32,20,0,1,4,0,2,1,0,1,2,3,2,0,3,0,1,0,0,0,0,0,0,0,0,12,0,3,0,1,0,0,0,2,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,466,239,27,24,18,12,12,4,2,19,31,25,24,18,7,4,7,0,1,1,1,2,0,0,0,227,19,28,21,13,9,1,5,9,21,27,19,14,20,5,3,3,2,2,2,1,2,0,1,869,404,82,55,46,24,25,10,4,15,20,16,28,20,14,15,8,3,6,3,3,4,2,1,0,465,70,64,68,32,16,7,11,13,12,25,36,19,24,22,7,6,9,4,9,6,4,0,1
"G0100030","2010","3","6","Alabama","01","Baldwin County","003",,,,,,,,,,,,,,"19300","99999","380",,,,,,,,,,,,,,"Baldwin County",,156153,76274,4397,4780,4985,3000,1720,759,685,2272,4141,4382,4899,5112,5740,5594,5310,2085,3160,1901,2625,3447,2496,1660,1124,79879,4409,4720,4740,2884,1642,741,683,2272,4179,4508,4952,5253,5854,6180,5848,2252,3506,2041,2843,3667,2741,2042,1922,17105,8309,653,623,696,496,361,162,104,368,611,542,505,489,638,601,474,176,173,110,150,165,107,64,41,8796,602,606,721,436,372,144,137,368,538,535,566,557,695,651,560,192,199,134,156,238,158,122,109,1216,594,24,44,49,31,19,8,6,12,23,33,41,37,57,50,39,10,31,20,27,17,11,1,4,622,35,32,51,27,16,5,6,17,34,42,33,57,59,54,45,15,22,8,18,18,14,9,5,1348,531,39,31,58,24,22,11,6,22,30,42,51,55,35,33,27,7,11,6,9,4,3,4,1,817,40,63,59,32,30,23,15,31,53,58,78,84,65,46,47,12,12,10,14,14,22,6,3,89,52,3,6,1,0,1,3,1,7,8,8,5,4,0,1,1,1,1,0,0,0,1,0,0,37,1,2,4,2,1,0,0,1,2,7,1,4,4,4,0,1,1,1,1,0,0,0,0,3631,2112,270,170,148,78,70,55,48,200,295,239,151,126,91,75,39,9,23,5,5,7,5,2,1,1519,221,163,118,63,59,21,28,100,183,164,112,72,71,56,22,9,14,3,12,11,6,8,3,2723,1324,228,178,139,75,33,15,12,37,75,71,73,72,61,71,53,13,28,12,25,23,21,4,5,1399,236,181,157,67,39,11,15,38,75,78,91,73,61,74,58,18,31,16,22,18,13,12,15
"G0100050","2010","3","6","Alabama","01","Barbour County","005",,,,,,,,,,,,,,"21640","99999","999",,,,,,,,,,,,,,"Barbour County",,13180,7027,293,311,340,239,149,63,55,237,444,469,520,538,593,556,485,212,329,192,244,314,218,135,91,6153,311,320,300,211,101,56,55,156,290,271,375,337,453,481,477,217,335,177,248,334,250,204,194,12875,6778,465,451,442,286,179,115,116,348,649,608,476,500,535,412,410,139,166,82,105,118,84,56,36,6097,430,439,441,274,179,88,78,234,437,330,358,372,466,407,410,166,204,94,132,174,127,140,117,114,65,7,2,3,5,3,1,2,7,6,5,4,1,6,5,2,3,2,0,0,0,0,1,0,49,5,0,0,6,2,2,3,2,8,2,1,4,3,1,3,2,1,0,0,1,1,1,1,107,57,3,6,4,6,0,0,0,4,3,8,5,3,3,4,1,1,0,3,1,0,0,0,2,50,2,3,3,0,1,1,1,3,3,6,2,2,4,4,5,2,2,3,1,0,0,0,2,29,19,1,1,1,1,1,0,0,5,5,2,0,0,0,1,0,0,0,0,0,1,0,0,0,10,0,1,0,0,0,0,0,3,1,0,1,0,0,2,0,0,0,0,0,0,2,0,0,894,486,63,46,19,15,24,9,17,57,84,61,33,20,19,10,6,1,1,1,0,0,0,0,0,408,86,46,20,16,10,10,11,38,55,33,31,17,16,9,4,1,2,0,1,1,1,0,0,258,144,15,9,11,7,4,2,2,8,21,9,8,7,8,12,6,2,3,2,1,3,1,3,0,114,21,7,15,6,6,1,0,4,4,4,5,8,2,6,8,4,4,2,1,2,1,3,0
"G0100070","2010","3","6","Alabama","01","Bibb County","007",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"Bibb County",,17381,8934,546,606,576,373,213,86,94,325,564,622,691,657,736,658,549,241,323,164,232,304,199,117,58,8447,491,513,528,345,196,100,86,310,471,499,590,605,591,596,542,207,345,196,251,357,274,190,164,5047,3072,142,130,169,126,71,31,68,184,384,364,295,223,279,178,167,48,62,22,31,37,30,18,13,1975,149,116,130,110,71,35,41,97,130,116,141,128,163,125,117,48,46,23,37,47,42,21,42,64,33,4,2,4,2,1,0,0,2,2,2,2,0,1,1,2,2,2,0,1,3,0,0,0,31,0,2,0,3,0,0,0,0,4,3,5,3,3,3,2,0,1,1,0,1,0,0,0,22,13,0,2,2,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,9,0,2,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,13,10,1,0,0,0,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,137,5,7,14,9,3,1,3,7,28,20,9,7,9,7,3,2,2,0,1,0,0,0,0,48,5,3,8,0,1,2,0,3,2,8,5,3,4,3,0,0,1,0,0,0,0,0,0,203,102,14,12,6,2,3,2,1,3,7,3,4,3,11,3,12,1,1,1,3,3,2,3,2,101,20,10,3,6,3,1,1,4,7,6,2,4,8,6,5,1,1,2,0,4,1,6,0
"G0100090","2010","3","6","Alabama","01","Blount County","009",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"Blount County",,53068,26149,1586,1734,1920,1198,708,291,253,824,1557,1534,1832,1885,1982,1864,1722,685,954,526,781,1014,671,400,228,26919,1581,1716,1751,1067,632,287,255,858,1557,1554,1768,1865,1958,1851,1804,723,1100,642,852,1115,820,603,560,761,385,33,18,28,24,20,5,3,17,21,27,30,23,25,27,27,12,10,5,7,6,5,7,5,376,32,27,38,12,9,4,5,8,22,21,20,29,22,31,25,12,12,1,10,15,4,8,9,307,147,4,12,11,9,8,2,2,3,4,11,9,15,8,6,11,9,4,3,4,3,3,6,0,160,10,7,18,9,7,2,0,6,11,12,8,14,11,9,11,6,4,3,5,3,3,0,1,117,41,2,6,2,2,0,0,0,3,1,4,1,5,3,6,3,1,0,1,1,0,0,0,0,76,3,5,6,0,2,0,0,3,3,6,12,7,7,4,7,3,2,0,6,0,0,0,0,38,20,2,1,2,2,0,0,2,1,0,2,1,2,1,2,1,0,0,0,0,0,0,1,0,18,1,2,2,3,0,1,0,1,1,0,0,2,1,0,1,0,0,1,1,1,0,0,0,2347,1296,137,123,116,87,53,32,31,82,139,141,102,83,60,49,26,6,4,6,6,6,5,2,0,1051,144,142,122,71,46,16,16,47,92,100,74,59,42,38,18,5,2,2,8,5,0,0,2,684,324,41,42,34,18,10,10,3,13,13,11,14,20,17,18,20,3,12,5,7,10,0,2,1,360,40,45,34,24,12,5,6,10,15,18,21,24,26,17,18,7,6,5,4,9,6,6,2
"G0100110","2010","3","6","Alabama","01","Bullock County","011",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Bullock County",,2507,1554,53,36,60,30,19,13,10,46,105,118,134,120,153,131,144,42,75,37,47,74,49,35,23,953,45,45,43,31,7,9,3,20,38,43,39,37,63,75,87,34,51,35,43,68,57,38,42,7666,3941,276,222,257,174,120,45,50,159,315,289,276,249,339,332,282,101,107,62,67,95,66,19,39,3725,241,186,283,189,115,59,48,134,221,211,224,228,273,296,246,99,121,76,97,120,98,56,104,23,7,1,0,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,2,1,2,4,0,1,1,1,0,1,0,0,0,2,0,20,10,0,2,1,0,0,0,0,1,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,2,1,2,2,0,1,0,0,0,0,0,1,0,0,43,26,4,2,0,0,1,2,1,4,3,5,2,0,0,0,0,0,2,0,0,0,0,0,0,17,3,2,1,0,0,1,0,0,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,569,325,61,23,16,8,12,7,7,44,70,27,22,4,5,7,1,0,1,3,4,1,2,0,0,244,48,34,8,10,8,7,8,27,50,25,5,2,3,5,0,0,0,0,0,1,2,1,0,86,49,7,10,2,0,1,1,0,2,3,4,5,0,2,1,6,1,1,2,1,0,0,0,0,37,3,8,3,1,0,0,1,1,2,6,1,1,4,3,0,2,0,0,1,0,0,0,0
"G0100130","2010","3","6","Alabama","01","Butler County","013",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Butler County",,11399,5471,351,295,335,227,113,44,47,156,276,319,321,321,380,480,440,157,257,158,177,234,169,119,95,5928,314,277,317,174,101,50,48,189,319,288,327,333,427,443,462,167,249,154,192,311,285,245,256,9095,4132,336,400,392,222,164,60,68,145,290,246,196,217,246,266,267,98,108,67,81,108,77,36,42,4963,317,321,376,227,136,62,92,184,373,360,277,320,346,334,348,112,136,60,96,160,120,88,118,60,27,1,2,3,0,1,0,0,0,1,2,2,0,4,5,4,0,0,0,1,0,1,0,0,33,4,2,4,0,0,1,1,3,2,3,0,2,1,3,4,0,0,1,0,1,1,0,0,177,92,7,10,12,3,1,1,1,2,4,4,19,8,4,8,1,3,0,2,0,1,1,0,0,85,6,10,6,4,1,0,1,2,8,13,13,4,8,5,0,1,0,1,1,1,0,0,0,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,48,32,3,3,0,2,1,0,1,5,6,3,1,3,2,0,0,0,0,1,0,0,1,0,0,16,3,2,2,1,1,0,1,0,2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,161,82,14,16,8,7,3,0,2,2,1,0,2,1,2,4,2,2,3,3,2,4,4,0,0,79,13,12,10,1,1,0,1,1,1,5,3,3,8,4,2,1,0,2,4,5,1,0,1
"G0100150","2010","3","6","Alabama","01","Calhoun County","015",,,,,,,,,,,,,,"11500","99999","999",,,,,,,,,,,,,,"Calhoun County",,88840,43168,2429,2645,2761,1713,1206,674,679,1711,2680,2596,2709,2887,3236,3270,3070,1173,1677,892,1214,1613,1189,748,396,45672,2255,2496,2690,1538,1255,680,633,1660,2705,2605,2784,2848,3179,3446,3284,1282,1779,1007,1431,1927,1735,1304,1149,24382,11272,876,953,939,622,587,305,286,587,771,688,625,620,697,779,679,210,253,141,169,207,124,85,69,13110,920,869,878,579,712,341,315,688,966,869,782,767,883,921,764,250,303,157,206,285,267,211,177,540,290,13,15,16,7,14,2,6,13,24,20,17,13,27,24,28,11,10,4,8,6,11,0,1,250,8,13,11,6,6,5,2,13,20,17,16,21,23,35,15,5,8,10,6,5,3,2,0,845,341,29,24,25,10,8,3,8,22,22,29,41,28,24,21,16,6,4,1,8,7,3,2,0,504,32,28,19,13,7,3,9,14,31,34,35,34,33,48,51,18,28,16,10,14,17,6,4,96,51,6,2,5,2,1,0,0,3,4,3,5,3,4,4,4,1,0,0,2,1,0,1,0,45,0,4,2,5,2,0,0,2,7,3,4,4,5,0,1,0,2,0,1,1,1,1,0,1894,1100,143,107,91,54,42,19,22,76,148,137,90,57,48,27,19,7,1,3,2,4,2,1,0,794,116,79,68,40,28,17,19,58,85,88,57,44,29,27,15,0,6,3,4,6,2,1,2,1975,954,209,135,99,46,31,10,15,33,62,44,37,29,50,47,42,4,15,9,17,11,7,1,1,1021,168,151,115,47,26,22,9,58,76,53,30,40,53,46,36,13,19,4,12,13,13,12,5
"G0100170","2010","3","6","Alabama","01","Chambers County","017",,,,,,,,,,,,,,"46740","99999","122",,,,,,,,,,,,,,"Chambers County",,20112,9815,483,564,590,381,230,106,116,323,499,523,616,714,701,745,743,289,469,265,336,451,319,195,157,10297,491,475,586,360,175,117,85,277,512,528,591,637,726,807,782,291,514,286,376,441,466,346,428,13257,6079,443,466,501,336,178,102,89,230,356,360,369,423,448,499,413,157,148,93,123,166,97,50,32,7178,430,440,492,351,213,115,69,232,457,440,490,473,484,566,502,192,217,136,178,210,192,147,152,69,31,1,1,1,2,0,1,1,1,1,3,0,3,2,3,2,1,2,3,1,2,0,0,0,38,0,2,2,2,0,1,3,0,0,3,1,7,2,2,8,1,0,1,0,2,0,0,1,168,79,7,1,7,1,0,2,1,0,10,11,20,4,4,1,1,2,1,0,0,5,0,1,0,89,2,7,4,1,3,0,0,7,7,11,14,6,6,4,2,0,1,0,6,2,4,1,1,10,6,0,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,214,160,16,15,13,3,13,3,3,17,25,17,17,4,4,3,3,0,1,2,0,0,1,0,0,54,7,4,3,3,0,2,0,3,7,9,6,1,3,0,0,0,1,1,2,2,0,0,0,385,193,31,32,21,15,8,2,1,4,10,8,10,9,9,11,3,2,5,5,2,2,2,1,0,192,42,36,15,13,9,2,7,2,2,0,12,4,13,5,8,0,8,2,5,2,4,1,0
"G0100190","2010","3","6","Alabama","01","Cherokee County","019",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Cherokee County",,24081,11907,653,652,740,491,305,120,136,325,529,640,776,852,913,958,893,386,546,321,418,605,351,183,114,12174,601,705,722,427,289,118,114,344,577,613,766,780,874,981,872,390,571,357,473,590,444,315,251,1208,618,25,46,53,45,17,2,5,28,35,29,35,39,45,58,47,20,29,11,11,17,11,5,5,590,34,38,43,15,14,3,7,15,26,34,30,26,51,61,50,20,22,11,16,27,21,18,8,135,80,4,4,6,5,2,0,2,4,2,1,3,6,5,9,6,2,7,2,3,5,1,1,0,55,2,4,5,0,1,1,1,0,2,1,2,6,5,10,6,2,0,3,2,1,1,0,0,54,20,1,3,1,1,1,0,0,1,5,0,0,0,1,2,3,1,0,0,0,0,0,0,0,34,3,6,4,0,0,0,0,1,2,3,1,4,1,2,4,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,62,3,5,4,6,6,0,1,5,8,1,6,6,4,2,3,0,1,0,0,1,0,0,0,61,11,8,8,2,2,0,0,4,10,2,6,1,1,3,1,1,0,0,0,1,0,0,0,387,200,32,25,25,16,5,3,2,9,2,5,8,8,13,6,12,5,2,3,5,7,4,3,0,187,21,28,19,14,6,0,0,7,7,9,5,13,6,9,12,5,3,6,3,9,4,0,1
