"FIPS","Population.Estimate..2014.","County.Name","State.Abbrev","FIPS.State.Code","FIPS.County.Code","Percent.Total.Population..One.Race..2010.","Population.Wh.Non.Hisp.Lat.Male...15..2013.","Population.Wh.Non.Hisp.Lat.Male.15.19..2013.","Population.Wh.Non.Hisp.Lat.Male.20.24..2013.","Population.Wh.Non.Hisp.Lat.Male.25.44..2013.","Population.Wh.Non.Hisp.Lat.Male.45.64..2013.","Population.Wh.Non.Hisp.Lat.Male.65...2013.","Population.Wh.Non.Hisp.Lat.Female...15..2013.","Population.Wh.Non.Hisp.Lat.Female.15.19..2013.","Population.Wh.Non.Hisp.Lat.Female.20.24..2013.","Population.Wh.Non.Hisp.Lat.Female.25.44..2013.","Population.Wh.Non.Hisp.Lat.Female.45.64..2013.","Population.Wh.Non.Hisp.Lat.Female.65...2013.","Population.Black.Afr.Am.Male...15..2013.","Population.Black.Afr.Am.Male.15.19..2013.","Population.Black.Afr.Am.Male.20.24..2013.","Population.Black.Afr.Am.Male.25.44..2013.","Population.Black.Afr.Am.Male.45.64..2013.","Population.Black.Afr.Am.Male.65...2013.","Population.Black.Afr.Am.Female...15..2013.","Population.Black.Afr.Am.Female.15.19..2013.","Population.Black.Afr.Am.Female.20.24..2013.","Population.Black.Afr.Am.Female.25.44..2013.","Population.Black.Afr.Am.Female.45.64..2013.","Population.Black.Afr.Am.Female.65...2013.","Population.Am.Ind.Alaska.Nat.Male...15..2013.","Population.Am.Ind.Alaska.Nat.Male.15.19..2013.","Population.Am.Ind.Alaska.Nat.Male.20.24..2013.","Population.Am.Ind.Alaska.Nat.Male.25.44..2013.","Population.Am.Ind.Alaska.Nat.Male.45.64..2013.","Population.Am.Ind.Alaska.Nat.Male.65...2013.","Population.Am.Ind.Alaska.Nat.Femle...15..2013.","Population.Am.Ind.Alaska.Nat.Femle.15.19..2013.","Population.Am.Ind.Alaska.Nat.Femle.20.24..2013.","Population.Am.Ind.Alaska.Nat.Femle.25.44..2013.","Population.Am.Ind.Alaska.Nat.Femle.45.64..2013.","Population.Am.Ind.Alaska.Nat.Femle.65...2013.","Population.Asian.Male...15..2013.","Population.Asian.Male.15.19..2013.","Population.Asian.Male.20.24..2013.","Population.Asian.Male.25.44..2013.","Population.Asian.Male.45.64..2013.","Population.Asian.Male.65...2013.","Population.Asian.Female...15..2013.","Population.Asian.Female.15.19..2013.","Population.Asian.Female.20.24..2013.","Population.Asian.Female.25.44..2013.","Population.Asian.Female.45.64..2013.","Population.Asian.Female.65...2013.","Population.Tot.Hisp.Latino.Male...15..2013.","Population.Tot.Hisp.Latino.Male.15.19..2013.","Population.Tot.Hisp.Latino.Male.20.24..2013.","Population.Tot.Hisp.Latino.Male.25.44..2013.","Population.Tot.Hisp.Latino.Male.45.64..2013.","Population.Tot.Hisp.Latino.Male.65...2013.","Population.Tot.Hisp.Latino.Female...15..2013.","Population.Tot.Hisp.Latino.Female.15.19..2013.","Population.Tot.Hisp.Latino.Female.20.24..2013.","Population.Tot.Hisp.Latino.Female.25.44..2013.","Population.Tot.Hisp.Latino.Female.45.64..2013.","Population.Tot.Hisp.Latino.Female.65...2013.","Population.White..2013.","Population.White.Non.Hisp.Latino..2013.","Population.White.Hisp.Latino..2013.","Population.Black.Afr.Am..2013.","Population.Black.Afr.Am.Non.Hisp.Lat..2013.","Population.Black.Afr.Am.Hisp.Lat..2013.","Population.Amer.Ind.Alaska.Nat..2013.","Population.Asian..2013.","Population.Nat.Haw.Oth.Pac.Isl..2013.","Population.Two...Races..2013.","Population.Tot.Non.Hisp.Latino..2013.","Population.Tot.Hisp.Latino..2013.","Population.White.Male..2013.","Population.White.Female..2013.","Population.White.Non.Hisp.Lat.Male..2013.","Population.White.Non.Hisp.Lat.Female..2013.","Population.White.Hisp.Lat.Male..2013.","Population.White.Hisp.Lat.Female..2013.","Population.Black.African.Amer.Male..2013.","Population.Black.African.Amer.Female..2013.","Pop.Black.Afr.Am.Non.Hisp.Lat.Male..2013.","Pop.Black.Afr.Am.Non.Hisp.Lat.Female..2013.","Population.Black.Afr.Am.Hisp.Lat.Male..2013.","Population.Black.Afr.Am.Hisp.Lat.Female..2013.","Population.Amer.Ind.Alaska.Nat.Male..2013.","Population.Amer.Ind.Alaska.Nat.Female..2013.","Population.Asian.Male..2013.","Population.Nat.Haw.Oth.Pac.Isl.Male..2013.","Population.Asian.Female..2013.","Population.Nat.Haw.Oth.Pac.Isl.Female..2013.","Population.Two.or.more.Races.Male..2013.","Population.Two.or.more.Races.Female..2013.","Population.Total.Hisp.Latino.Male..2013.","Population.Total.Hisp.Latino.Female..2013.","Population.Total.Non.Hisp.Latino.Male..2013.","Population.Total.Non.Hisp.Latino.Female..2013.","Population.Male...15..2013.","Population.Male.15.19..2013.","Population.Male.20.24..2013.","Population.Male.25.44..2013.","Population.Male.45.64..2013.","Population.Male.65...2013.","Population.Female...15..2013.","Population.Female.15.19..2013.","Population.Female.20.24..2013.","Population.Female.25.44..2013.","Population.Female.45.64..2013.","Population.Female.65...2013.","Percent.Urban.Population..2010.","X3.Year.Chrnic.Lower.Resp.Dis.Death..2009.11.","Unemployment.Rate..16...2014.","X3.Yr.Mortality..Age.25.34.years..2010.12.","X3.Yr.Mortality..Age.35.44.years..2010.12.","X3.Yr.Mortality..Age.45.54.years..2010.12.","X3.Yr.Mortality..Age.55.64.years..2010.12.","X3.Yr.Mortality..Age.65.74.years..2010.12.","X3.Yr.Mortality..Age.75.84.years..2010.12.","X3.Yr.Mortality..Age.85..years..2010.12.","X3.Yr.Mortality..Age.unknown..2010.12.","X3.Year.Motor.Vehicle.Accid.Deaths..2010.12.","X3.Year.Suicide.Deaths..2010.12.","X3.Year.Homic.Legal.Intervent.Death..2010.12.","X3.Year.Other.Causes.Deaths..2010.12.","X3.Year.Average.Total.Deaths..2010.12.","X3.Year.Average.White.Male.Deaths..2010.12.","X3.Year.Average.Black.Male.Deaths..2010.12.","X3.Year.Average.Other.Male.Deaths..2010.12.","X3.Year.Average.White.Female.Deaths..2010.12.","X3.Year.Average.Black.Female.Deaths..2010.12.","X3.Year.Average.Other.Female.Deaths..2010.12.","county","state"
1000,4849377,"Alabama","AL",1,0,98.5,275061,99327,108503,389069,446940,251798,261636,94044,106032,392266,463929,321990,140795,51159,54856,156589,144784,50879,137380,50996,58084,185330,175440,78031,3574,1227,1340,5009,4280,1587,3404,1147,1194,4737,4486,1596,6224,1957,2553,10486,6219,1761,6209,1779,2608,11354,7867,2842,33987,7823,9754,39341,14342,3109,32502,6829,7191,28381,11192,3568,3376295,3210595,165700,1284323,1270145,14178,33581,61859,5136,72528,4635703,198019,1661514,1714781,1570698,1639897,90816,74884,599062,685261,591622,678523,7440,6738,17017,16564,29200,2862,32659,2274,35692,36836,108356,89663,2236991,2398712,469840,163751,178447,602352,620025,310932,451176,157099,176886,625771,667209,410234,59,2849,6.8,1023,1632,4015,7021,9088,12255,12289,NA,917,686,399,12088,48673,18764,5613,100,18641,5457,99,"alabama","AL"
2000,736732,"Alaska","AK",2,0,92.7,41328,13824,21093,69799,73535,25137,38530,12131,14959,60494,64759,23963,3088,1169,2539,5284,3405,715,2874,984,1322,3536,2610,941,15261,4696,4996,14167,11954,3610,14329,4445,4678,13509,12092,4442,4388,1567,1916,5759,5229,1546,4117,1512,1569,6613,6286,2314,7330,2263,3388,8202,3814,863,6862,1958,2200,6782,3741,1096,494719,459552,35167,28467,25914,2553,108179,42816,8883,52068,686633,48499,263583,231136,244716,214836,18867,16300,16200,12267,14872,11042,1328,1225,54684,53495,20405,4548,22411,4335,26148,25920,25860,22639,359708,326925,81467,26096,36122,108535,100777,32571,76411,23386,26977,96747,92525,33518,66,189,6.8,153,193,461,690,712,731,686,NA,77,158,41,852,3830,1565,66,562,1123,44,470,"alaska","AK"
4000,6731484,"Arizona","AZ",4,0,96.6,279192,100423,113596,449990,526459,387402,266801,93603,108070,428628,557154,446760,38014,13210,15658,48844,33983,10040,35932,12029,13172,42561,31535,11955,47631,15366,17733,49759,32601,10603,46692,15090,16837,48206,36853,14180,20316,6668,8820,35934,20719,7378,20460,6577,7817,39152,27430,11595,299326,96274,96249,294922,171497,51794,288012,91305,88518,283882,178162,65176,5565411,3758078,1807333,306933,263683,43250,351551,212866,17305,172558,4621507,2005117,2766834,2798577,1857062,1901016,909772,897561,159749,147184,138426,125257,21323,21927,173693,177858,99835,9302,113031,8003,85706,86852,1010062,995055,2285057,2336450,687044,232106,250911,873501,783433,468124,660521,218723,233787,838102,829634,550738,89.8,2977,6.9,1023,1473,3460,6197,8451,12135,14055,NA,823,1136,421,11274,48231,23209,802,1400,20983,682,1155,"arizona","AZ"
5000,2966369,"Arkansas","AR",5,0,98,193613,67475,72527,266318,293031,177225,183529,63818,71519,264832,305163,220928,55653,18900,20118,57339,50622,16782,54375,18695,20241,64966,58966,24664,3361,1045,1257,3973,3332,1189,3340,1079,1172,3763,3556,1197,4679,1308,1994,7374,3916,1106,4565,1297,1925,8193,4994,1644,35650,9410,9751,35886,15368,2966,34065,8550,7724,28881,12979,3172,2363121,2179978,183143,461321,454592,6729,28264,42995,8089,55583,2754971,204402,1168021,1195100,1070189,1109789,97832,85311,219414,241907,215868,238724,3546,3183,14157,14107,20377,4246,22618,3843,27376,28207,109031,95371,1344560,1410411,302282,100073,107189,374098,369128,200821,289042,95464,104139,374600,388938,253599,56.2,1863,6.1,591,901,2321,4057,5539,7345,8019,NA,607,465,215,6737,29562,13008,1944,98,12569,1864,79,"arkansas","AR"
6000,38802500,"California","CA",6,0,95.1,1023109,395234,486317,1932522,2317360,1299509,971051,368097,444604,1802804,2310614,1594718,256023,98212,114698,351150,314619,108851,247208,92984,106826,347355,331248,150309,76875,27529,30827,101510,70491,19793,74146,26327,27778,92273,70509,23683,455918,162136,191218,803931,654359,294080,432170,154229,188165,893199,780879,394053,2028105,674237,691807,2297683,1365476,380020,1948666,643712,639936,2152787,1390281,506616,28173949,14945939,13228010,2519483,2202770,316713,641741,5404337,190956,1402055,23613195,14719326,14143064,14030885,7454051,7491888,6689013,6538997,1243553,1275930,1088486,1114284,155067,161646,327025,314716,2561642,95031,2842695,95925,693881,708174,7437328,7281998,11626868,11986327,3883364,1365634,1516006,5462603,4724940,2111649,3714727,1293600,1411162,5278093,4890661,2680082,95,13093,7.5,4115,6718,17284,30483,37152,57552,79194,22,3032,3934,2052,49001,238836,99951,9380,11782,97623,8877,11222,"california","CA"
8000,5355866,"Colorado","CO",8,0,96.6,302896,107226,124200,518318,527901,247033,285921,98794,113771,488167,542212,297533,26862,8825,11471,38584,28329,7926,25207,8409,9196,31225,25053,9788,9913,3554,3827,13446,9394,2545,9888,3244,3652,11945,9250,2918,15328,4849,5817,25682,15989,5553,16537,5324,5981,30348,20630,8509,167385,49187,49151,174808,96806,29243,159902,45732,44657,159410,96488,35659,4634609,3653972,980637,230875,204197,26678,83576,160547,9622,149138,4159939,1108428,2329759,2304850,1827574,1826398,502185,478452,121997,108878,108771,95426,13226,13452,42679,40897,73218,4895,87329,4727,73898,75240,566580,541848,2079866,2080073,532070,175756,195885,771412,678690,292633,506800,163751,178961,723065,694586,354758,86.2,2141,5,720,1069,2486,4376,5009,7711,10046,NA,503,943,202,8341,32387,15400,666,339,15097,561,323,"colorado","CO"
9000,3596677,"Connecticut","CT",9,0,97.4,188393,82657,74052,275704,393914,202676,179082,79156,68303,278012,411675,267741,45886,17500,18702,54482,44159,14096,43986,16722,17882,60545,52098,21795,2176,780,998,2944,2014,552,2103,786,781,2659,2010,682,16095,4805,5211,27498,16114,4946,16689,5062,5054,30342,17460,5717,73167,24056,25380,83788,46441,11639,69932,22438,22324,81299,50790,15907,2933928,2501365,432563,407853,350249,57604,18485,154993,3733,77088,3068919,527161,1435265,1498663,1217396,1283969,217869,214694,194825,213028,167305,182944,27520,30084,9464,9021,74669,2028,80324,1705,37900,39188,264471,262690,1489680,1579239,326534,129674,123082,439624,501345,233892,312739,124102,113326,447567,532416,311779,88,1384,6.6,367,643,1791,3017,4052,7176,11594,NA,286,364,144,7376,29178,12745,1043,150,14063,1043,134,"connecticut","CT"
10000,935614,"Delaware","DE",10,0,97.3,44242,16911,18784,67573,86284,53840,42146,16629,18835,68843,93019,66499,22979,8320,8893,24994,23141,8198,22581,7963,8759,28824,28549,11804,790,210,215,947,691,249,733,209,242,895,672,301,3409,926,1196,6070,3270,1245,3423,921,1267,6354,3848,1616,12839,3374,3725,14180,6079,1477,12522,3295,3435,12521,5740,1757,657881,593605,64276,205005,195540,9465,6154,33545,822,22342,844805,80944,321239,336642,287634,305971,33605,30671,96525,108480,92001,103539,4524,4941,3102,3052,16116,414,17429,408,10551,11791,41674,39270,406273,438532,86492,30197,32989,113489,119561,65219,83752,29521,32742,117259,132263,82265,83.3,443,5.7,145,225,618,980,1337,1989,2308,NA,107,112,60,1886,7809,3156,682,40,3255,638,37,"delaware","DE"
11000,658893,"Dist. of Columbia","DC",11,0,97.1,10923,4847,9909,55004,23378,11111,10367,5617,12417,55254,19788,12666,29013,10471,12900,37470,39036,16576,28300,11396,14372,45581,46774,27787,327,82,178,754,374,121,326,96,157,657,399,168,1164,537,1086,5436,1591,601,1268,687,1736,7660,2280,1001,7007,1805,3023,14518,5917,1343,7055,1881,2771,12659,5538,2043,280509,231281,49228,319676,309869,9807,3639,25047,943,16635,580889,65560,140527,139982,115172,116109,25355,23873,145466,174210,140518,169351,4948,4859,1836,1803,10415,527,14632,416,7479,9156,33613,31947,272637,308252,48634,17750,27109,112993,70076,29688,47450,19822,31691,122775,74727,43734,100,145,7.8,108,165,459,762,756,973,1248,NA,40,38,105,960,4637,506,1726,25,498,1857,25,"district of columbia","DC"
12000,19893297,"Florida","FL",12,0,97.5,746115,281503,317164,1202406,1591503,1271137,709908,262580,304965,1171433,1671368,1504996,377105,130548,147321,434552,353681,126367,365185,125788,146890,471937,404472,177922,9813,3712,4405,16104,12506,4309,9519,3342,3399,12943,12235,4729,45841,15544,19374,79135,59464,24726,45988,15046,18986,94591,76846,33323,498166,168788,183498,716820,510792,209719,475258,157001,167925,682101,556514,292734,15265943,11035078,4230865,3261768,3029859,231909,97016,528864,21116,378153,14933544,4619316,7501995,7763948,5409828,5625250,2092167,2138698,1569574,1692194,1453971,1575888,115603,116306,50849,46167,244084,10757,284780,10359,185388,192765,2287783,2331533,7274864,7658680,1698005,603097,670977,2433566,2521620,1635382,1626364,567540,642940,2424110,2717024,2012235,91.2,10266,6.3,2759,4366,11948,21012,29248,45153,56882,NA,2516,2890,1175,41227,175019,80089,9865,785,74359,9196,725,"florida","FL"
